District Number,District Name,School Number,School Name,Grade,Group,2014 Total Tested,2014 n Unsatisfactory,2014 % Unsatisfactory,2014 n Partially Proficient,2014 % Partially Proficient,2014 n Proficient,2014 % Proficient,2014 n Advanced,2014 % Advanced,2014 % Proficient and Advanced,2014 n No Score,2014 % No Score
0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ES,5,M,55,1,1.8,9,16.4,20,36.4,23,41.8,78.2,2,3.6
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,3,F,32,4,12.5,4,12.5,14,43.8,10,31.3,75.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,3,M,39,3,7.7,8,20.5,13,33.3,15,38.5,71.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,4,F,40,0,0.0,5,12.5,18,45.0,17,42.5,87.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,4,M,36,1,2.8,5,13.9,17,47.2,13,36.1,83.3,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,5,F,36,2,5.6,9,25.0,9,25.0,16,44.4,69.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ES,5,M,51,2,3.9,9,17.6,26,51.0,14,27.5,78.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,3,F,34,5,14.7,7,20.6,16,47.1,6,17.6,64.7,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,3,M,40,5,12.5,10,25.0,17,42.5,7,17.5,60.0,1,2.5
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,4,F,46,4,8.7,7,15.2,20,43.5,15,32.6,76.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,4,M,40,3,7.5,8,20.0,18,45.0,11,27.5,72.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,5,F,37,4,10.8,23,62.2,6,16.2,4,10.8,27.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE,5,M,52,7,13.5,18,34.6,21,40.4,6,11.5,51.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,3,F,47,4,8.5,13,27.7,20,42.6,10,21.3,63.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,3,M,40,3,7.5,8,20.0,19,47.5,10,25.0,72.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,4,F,47,4,8.5,8,17.0,16,34.0,19,40.4,74.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,4,M,42,2,4.8,8,19.0,20,47.6,12,28.6,76.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,5,F,46,2,4.3,13,28.3,19,41.3,12,26.1,67.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW E S,5,M,61,3,4.9,10,16.4,31,50.8,17,27.9,78.7,0,0.0
